"Date","Company","Title","Location","Description","Level","Type","Function","Industry","Link"
"2024-05-17","Pt Mest Indonesiy","Full Stack Developer","Jakarta Metropolitan Area","Job Description


Manage and Develop company and client applications.
Develop company application features according to internal user or client requests.
Follow up on error findings from QA/QC when completing/developing an application or continuing to repair a program bug.
Develop, maintain, and enhance web applications using PHP and Laravel framework.
Write efficient SQL queries for MySQL or PostgreSQL.
Integrate with and consume RESTful JSON APIs to enhance application functionality.
Collaborate with cross-functional teams to define, design, and ship new features.
Troubleshoot and debug applications to ensure optimal performance and reliability.
Stay up-to-date with emerging technologies and industry trends to continuously improve development processes.


Job Requirement


Bachelor's degree in Computer Science or a related field (preferred).
Have strong analytical skills.
Excellent communication and teamwork abilities.
Proven experience as a developer with expertise in Laravel framework.
Solid understanding of database management systems, including MySQL or PostgreSQL.
Experience working with RESTful JSON APIs.
Proficiency in HTML, CSS, JavaScript, and related web technologies.
Strong problem-solving skills and attention to detail.
Understand GIT system / Version Control System
Have a passion in the field of software development
Master at least two of the following programming languages:


HMVC PHP Laravel / CI (Laravel preferred), Javascript, or React JS / Node.js


Master database concepts & master at least the following two:


MySQL, MSSQL, or NO-SQL (MongoDB , Firestore)


Understand about Microservices
Understanding API creation is a plus","","","","","https://id.linkedin.com/jobs/view/full-stack-developer-3929082719?position=2&pageNum=20&refId=8PBp5jXP0%2FhJZr9dA73uCg%3D%3D&trackingId=aX7jBy5isIsv%2FU5QRctpDg%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-06-03","Hypefast","Software Engineer","Jakarta, Indonesia","Hypefast stands as the premier House of Brands in Southeast Asia (SEA). Boasting profitability and rapid expansion, we're committed to tech advancement and eager to recruit top-tier talent. This is an exciting chance to be part of a swiftly evolving startup, spearhead the creation of numerous products, empower brands throughout SEA, and most importantly, enjoy the journey!




Responsibilities

Fully own end-to-end development (including design, implementation, automated testing, and deployment) and maintenance of robust, performant, and scalable web applications
Design, develop, improve, and deploy high quality full stack applications
Work across functions, collaborate with other engineers, as well as product design and ideation
Write automated tests to ensure high quality code
Passion for learning, strong sense of ownership, and eagerness to continuously make things better




Qualifications

Bachelor’s degree in Computer Science or related fields, or equivalent professional experience in software development
Experience across a range of development languages whilst being able to highly specialize in one or more languages (Ruby and/or Golang would be beneficial)
Experience building secure and scalable applications in Vue.js, ReactJS, or Angular
Experience with relational (MySQL or PostgresSQL) and NoSQL databases
Proficiency with Linux
Firm grasp of data structures, algorithms, and design patterns and principles




Show more ","Entry level","Full-time","Engineering and Information Technology","Retail","https://id.linkedin.com/jobs/view/software-engineer-at-hypefast-3938634604?position=3&pageNum=20&refId=8PBp5jXP0%2FhJZr9dA73uCg%3D%3D&trackingId=gwsI12JlO6%2FjWJ0zBZ8ZBw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-03-12","PT Astra International Tbk","Backend Developer - Go","Jakarta Metropolitan Area","Deskripsi Pekerjaan


Mengarahkan pengembangan perangkat lunak yang didorong oleh bahasa pemrograman Golang. Memastikan peningkatan kualitas, skalabilitas, dan keandalan sistem dengan menerapkan praktik terbaik dalam setiap fase pembangunan produk.
Berkolaborasi aktif dengan tim pengembangan untuk memimpin dalam perencanaan, desain, dan implementasi arsitektur perangkat lunak yang efisien, terutama menggunakan Golang. Memastikan peningkatan berkelanjutan dan penyempurnaan sesuai kebutuhan produk.
Memastikan keselarasan antara infrastruktur teknologi yang digunakan dalam pengembangan produk dengan kebutuhan yang ada, terutama dalam integrasi yang tepat antara berbagai layanan dan aplikasi menggunakan keahlian Golang.
Bertanggung jawab atas analisis mendalam terhadap insiden teknis dan kinerja sistem dengan fokus pada lingkungan backend menggunakan Golang. Mengkoordinasikan solusi perbaikan yang diperlukan untuk meningkatkan keandalan, kinerja, dan skalabilitas keseluruhan dari sistem yang dikembangkan.


Persyaratan


Gelar Sarjana dari jurusan Teknik Informatika/Sistem Informasi/Teknik Komputer/Manajemen Informatika atau bidang terkait dari universitas terkemuka dengan IPK minimal 3,00.
Minimal 3 tahun pengalaman kerja secara keseluruhan dan pengetahuan mengenai pengembangan backend dan programming.
Memiliki kompetensi dalam Programming Language (Golang), Caching (Golang), Backend Architecture (Golang), Teamwork & Collaboration, Product Roadmapping (Golang), Communication, Problem-solving.
Kemampuan interpersonal, analisis, dan komunikasi yang kuat.
Bersedia bekerja di kantor (lokasi: Jakarta)
Show more ","Entry level","Full-time","Engineering and Information Technology","Automation Machinery Manufacturing","https://id.linkedin.com/jobs/view/backend-developer-go-at-pt-astra-international-tbk-3853869295?position=4&pageNum=20&refId=8PBp5jXP0%2FhJZr9dA73uCg%3D%3D&trackingId=hFZhVkezEr0yVzaDgRriVw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-26","PT Ada Ide Langsung Jalan","Frontend Engineer Staff","Malang, East Java, Indonesia","Kualifikasi


Berpengalaman sebagai Flutter Developer minimal 1 tahun
Memiliki pemahaman tentang API, GRPC, GraphQL
Berpengalaman membuat kode program dengan dormat yang benar, rapi mengikuti standar dan jelas
Familiar dengan tools desain dan prototipe Figma
Berpengalaman mendeploy aplikasi ke production menggunakan proses CI/CD
Memiliki pengalaman menggunakan state management (Bloc, Getx)","","","","","https://id.linkedin.com/jobs/view/frontend-engineer-staff-at-pt-ada-ide-langsung-jalan-3934561616?position=5&pageNum=20&refId=8PBp5jXP0%2FhJZr9dA73uCg%3D%3D&trackingId=x4Pep9UdEe6qVoUbGHxgMA%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-06-03","Scopic","Remote Full-stack PHP Developer","Jakarta Metropolitan Area","Are you on the hunt for exciting new challenges that boost your professional growth? If you're a Full-stack PHP Developer with extensive experience working with React, and willing to dive into intra-system complexity, we'd love to hear from you! Read on to see if you'd be a good fit for the Scopic team of 250+ professionals from over 60 countries.

At Scopic, the virtual world is our home so this is a full-time remote position. Only apply if you're prepared for the zero-hour commute and the thought of collaborating with colleagues from around the globe excites you!

The Skills And Traits We're Looking For


5+ years of commercial software development experience
Proficient PHP skills and experience with Laravel, Yii, and or a similar MVC framework
Strong JavaScript skills and experience with React.js
Strong SQL skills. Experience with MySQL/Aurora is a plus
Ability to understand and work with a large existing codebase involving multiple services
Understanding of cloud infrastructure, including scalability and availability patterns such as horizontal scaling, service discovery, etc.
Experience in AWS is a plus
Experience with system integrations is preferred
Willingness to dive into intra-system complexity
Bachelors degree or higher
Intermediate written and spoken English
Overlap with PST working hours is a must


The Secret Ingredients That Make Us Special


Your growth is our growth. We invest in your future with paid training and other professional opportunities.
We're industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side, you'll embrace new and interesting challenges.
Your location. Your schedule — Pick your time-zone, choose your preferred hours, and work from the place where you feel most at home.
Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive, you can travel and work from anywhere you like.
A workload you can rely on. We'll set you enough tasks to keep that mind busy! At Scopic, we'll ensure you always have a consistent flow of engaging, challenging work to do.
Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance.


Down to business!


Rate Range is negotiable depending on your experience and performance during our recruiting process.
This is a full-time, home-based position. (40 hours/week)
This is an hourly paid position.


Our Values

Scopic offers equal opportunity. We value diversity and do not discriminate on the basis of race, religion, color, marital status, national origin, gender, veteran status, sexual orientation, age, or disability status.

Have the skills, the drive, and the passion to join the Scopic family?

Apply today to join our growing team of remote professionals from around the world.

Attention Job Seekers: Please be aware that scammers may be fraudulently using our company's name in hiring scams. To ensure your safety, all legitimate communication regarding job opportunities from our company will only come from email addresses ending with scopicsoftware.com or scopicsoftware.hire.trakstar.com. Please exercise caution and report any suspicious activity to our official channels.

Employment Type: Full-Time
Show more ","Entry level","Full-time","Engineering and Information Technology","Software Development","https://id.linkedin.com/jobs/view/remote-full-stack-php-developer-at-scopic-3938634471?position=6&pageNum=20&refId=8PBp5jXP0%2FhJZr9dA73uCg%3D%3D&trackingId=9XnyxnDfJh1lsJ9Bee6Ofg%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-06-03","Neuram.ai","Software Engineer","Jakarta, Indonesia","Company Description




Neuram.ai is the first focused generative Artificial Intelligence company that collaborates with businesses across different sectors to solve their pain points. Our cutting-edge AI technology helps businesses achieve their desired objectives by creating data-driven bespoke solutions for them.







Role Description




This is a full-time on-site role for a Software Engineer. As a Software Engineer, you will be responsible for the development, testing, and implementation of software solutions. You will work with our team of developers to design and implement software applications and solutions that meet the unique needs of our clients. You will also be responsible for maintaining and upgrading existing software and applications.







Qualifications




Strong foundation in Computer Science and proficiency in Software Development
Experience in Back-End Web Development
Proficient in Programming and Object-Oriented Programming (OOP)
Experience in database management systems such as MySQL and PostgreSQL
A strong knowledge of software design patterns
Familiarity with web frameworks such as Django and Flask
Experience with cloud computing platforms such as AWS, Azure, or Google Cloud.
Knowledge of big data technologies like Hadoop, Spark, or Kafka.
Familiarity with natural language processing (NLP) and computer vision.
Contributions to open-source projects or publications in relevant conferences or journals.
Proficiency in programming languages such as Python, Java, or C++.
Strong understanding of AI software development principles and practices.
Experience with popular machine learning frameworks such as TensorFlow, PyTorch, or scikit-learn.
Show more ","Entry level","Full-time","Engineering and Information Technology","IT Services and IT Consulting","https://id.linkedin.com/jobs/view/software-engineer-at-neuram-ai-3938635285?position=7&pageNum=20&refId=8PBp5jXP0%2FhJZr9dA73uCg%3D%3D&trackingId=v0YtzgG7RpVuT9akKQfrGw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-31","PT. IDStar Cipta Teknologi (IDstar)","Java Developer","Jakarta, Indonesia","Job Description:

Design, develop, and maintain backend services and APIs using Java and Spring Boot framework.
Collaborate with product managers, designers, and frontend developers to understand requirements and translate them into technical specifications and implementation plans.
Implement RESTful APIs to enable communication between frontend and backend systems, handle data retrieval and manipulation, and support various client applications.
Design and optimize database schemas, write efficient SQL queries, and interact with relational databases (e.g., MySQL, PostgreSQL) using Spring Data JPA or Hibernate.
Implement security mechanisms such as authentication, authorization, and encryption to protect sensitive data and ensure the integrity and confidentiality of information.
Develop and maintain unit tests, integration tests, and automated test suites using frameworks such as JUnit, Mockito, and Spring Test to ensure the quality and reliability of code.
Monitor application performance, identify bottlenecks and areas for optimization, and implement performance improvements to enhance scalability and responsiveness.
Debug and troubleshoot issues reported by users or identified during testing, and provide timely resolutions to ensure smooth operation of backend services.
Stay updated with the latest trends, best practices, and advancements in Java development, Spring Boot, and related technologies, and share knowledge with the team.
Participate in code reviews, provide constructive feedback, and mentor junior developers to promote best practices and continuous improvement.




Requirements:

Proven experience developing backend services and APIs using Java and Spring Boot framework.
Strong proficiency in Java programming language, with a good understanding of object-oriented programming principles and design patterns.
Experience with Spring Boot, Spring Framework (Core, MVC, Data, Security), and related technologies commonly used in Java development.
Knowledge of RESTful API design principles and experience implementing RESTful APIs using Spring MVC or Spring WebFlux.
Proficiency in working with relational databases and ORM frameworks such as Hibernate or Spring Data JPA.
Experience with version control systems (e.g., Git) and build tools (e.g., Maven, Gradle) for code management and collaboration.
Excellent problem-solving skills and ability to debug and troubleshoot complex issues efficiently.
Strong communication and collaboration skills, with the ability to work effectively in a team environment.
Ability to manage multiple tasks and priorities in a fast-paced, deadline-driven environment.
Continuous learner with a passion for staying updated with emerging technologies and best practices in Java development and Spring Boot.




Show more ","Entry level","Contract","Engineering and Information Technology","IT Services and IT Consulting","https://id.linkedin.com/jobs/view/java-developer-at-pt-idstar-cipta-teknologi-idstar-3937791964?position=8&pageNum=20&refId=8PBp5jXP0%2FhJZr9dA73uCg%3D%3D&trackingId=zQxjsIa9%2FhVQ4EnHi7b66g%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-31","PT TOURIN WISATA GLOBAL","Software Developer Internship","Jakarta Metropolitan Area","PT Tourin Wisata Global Membuka Lowongan Untuk Internship / Magang programmer di tempat kami. Perkembangkan pengalaman dan keahlian kamu di bidang ini, untuk meningkat kan kesepatan saat lulus kuliah.

KHUSUS UNTUK MURID IT/PERANGKAT tingkat/semetster apapun.

Sudah berpengalaman di Flutter Framework.

Diluar itu tidak akan di terima lamaran nya.

Tanggung Jawab & Ilmuh Yang Di Bututh Kan Adalah


Develop Aplikasi Mobile dengan Flutter.
Mengerti tentang API
Bisa menguna kan git, Code editor, mobile emulator, etc....
Perangkan akan di sediakan jika perlu","","","","","https://id.linkedin.com/jobs/view/software-developer-internship-3935311554?position=9&pageNum=20&refId=8PBp5jXP0%2FhJZr9dA73uCg%3D%3D&trackingId=rXODmQwt3t7UJ2ZB05fttQ%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-03-12","PT Astra International Tbk","Mobile Developer","Jakarta Metropolitan Area","Deskripsi Pekerjaan


Membangun aplikasi baru berbasis mobile
Melakukan pengujian terhadap aplikasi yang di buat
Menganalisa dan mengembangkan aplikasi yang sudah ada


Persyaratan


Minimal pendidikan D3/S1 Ilmu Komputer, Teknologi Informasi, Manajemen Informatika, Sistem Informasi atau program studi yang berkaitan
Menguasai dan memiliki pengalaman mengembangkan aplikasi Android
Menguasai SQL Server Database
Menguasai Android Studio
Memahami Flutter atau React Native merupakan nilai tambah
Bersedia mempresentasikan project yang pernah dibuat
Show more ","Entry level","Full-time","Engineering and Information Technology","Automation Machinery Manufacturing","https://id.linkedin.com/jobs/view/mobile-developer-at-pt-astra-international-tbk-3853868323?position=10&pageNum=20&refId=8PBp5jXP0%2FhJZr9dA73uCg%3D%3D&trackingId=896GJEu7ocKsWYSFGXm%2B0A%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-31","Pabbl","Web Developer","Denpasar, Bali, Indonesia","Pabbl is a tech company that launched an Android-exclusive app on the Dutch market in 2016. Since then, we have expanded our services and now develop whitelabel apps and SDKs that enable publishers and telcos to provide their users with a service that allows them to earn points and rewards through (ad)engagements. We are primarily active in the APAC area. Our headquarters is in Amsterdam, and our main team in Indonesia is based in Bali.




We're looking for a Web Developer to join our team. If you're passionate about web development, love building mobile web apps, and want to grow your career, this role is for you!

Responsibilities:

Develop and maintain mobile web applications using HTML5 and React Native.
Build and optimize web-based dashboards and tools for internal teams and clients.
Collaborate with backend engineers to integrate web apps with MySQL databases.
Create responsive and user-friendly interfaces.
Ensure the technical feasibility of UI/UX designs.
Write clean, scalable, and efficient code.
Debug and troubleshoot issues across various devices and browsers.
Participate in code reviews and provide constructive feedback.
Work closely with product managers to understand requirements and deliver solutions.



Requirements:

3-5 years of experience in web development.
Proficiency in HTML5, CSS3, and JavaScript.
Strong experience with React and React Native.
Knowledge of MySQL or other relational databases.
Familiarity with version control systems like Git.
Experience with mobile web app development and responsive design.
Excellent problem-solving skills.
Good communication skills and a team player.
Organized and detail-oriented.
Basic data analysis skills.
Fluent in English.
Based in Indonesia (preferably Bali), but remote work is possible.



Benefits:

Full remote working.
Competitive salary based on experience.
Opportunity to work with a dynamic and international team.
Possibility of career growth and extension based on performance.



Excited about this opportunity? Send your resume to d.palandi@pabbl.com and jmalotaux@pabbl.com




Job Types: Full-time, Contract




Contract length: 3 months with possibility to extend based on performance.




Pay: Competitive salary based on experience




Application Question(s):

Are you currently living in Indonesia?




Education:

Bachelor's degree in Computer Science, Web Development, or a related field (Required)




Language:

English fluent (Required)




Show more ","Entry level","Full-time","Engineering and Information Technology","Advertising Services","https://id.linkedin.com/jobs/view/web-developer-at-pabbl-3938928180?position=1&pageNum=22&refId=Cs3p2NuDMAIYXLrmrmoH4Q%3D%3D&trackingId=IlpXcesVWww3MC9BldJ26g%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-16","Deloitte","Consultant / Senior Consultant - Frontend Developer","Jakarta Metropolitan Area","At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clientsDate: 16 May 2024

Service Line / Portfolios: Customer & Marketing

Location:

Jakarta, ID Penang, MY Kuala Lumpur, MY

Are you ready to unleash your potential?

At Deloitte, our purpose is to make an impact that matters for our clients, our people, and the communities we serve.

We believe we have a responsibility to be a force for good, and WorldImpact is our portfolio of initiatives focused on making a tangible impact on society’s biggest challenges and creating a better future. We strive to advise clients on how to deliver purpose-led growth and embed more equitable, inclusive as well as sustainable business practices.

Hence, we seek talented individuals driven to excel and innovate, working together to achieve our shared goals.

We are committed to creating positive work experiences that foster a culture of respect and inclusion, where diverse perspectives are celebrated, and everyone is recognised for their contributions.

Ready to unleash your potential with us? Join the winning team now!

Work you will do

This role is with Deloitte Digital Southeast Asia. Across all clients and sectors, we believe great customer experiences create greater impact. That elevating the human experience creates enduring value, for the organization, for the customer, for society, for all.

You will:


Develop web applications using React JS
Write reusable code and utilize component
Ensure the quality of the code to follow rules and guidelines provided by client
Participate in peer code review on daily basis
Working closely with team member, backend, SA, BA, tester and other team member during development
Participate in meeting or call if any related frontend side is required
Liaise with squad lead for the daily task update


Enough About Us, Let's Talk About You

If you are someone with:


Experience using ReactJS is a must, minimum 1 year
Possess proficiency in JavaScript, ES6, HTML, and CSS
Familiarity with browser testing and debugging
Experience with responsive and adaptive design.
Good analytical and problem-solving skills.
Excellent verbal communication skills.
In-depth understanding of the entire web development process
Able to work independently with minimal supervision while achieving goals
Teamwork and willingness to listen to others


Next Steps

So what are you waiting for? Join the winning team now.

Due to volume of applications, we regret only shortlisted candidates will be notified.

Please note that Deloitte will never reach out to you directly via messaging platforms to offer you employment opportunities or request for money or your personal information. Kindly apply for roles that you are interested in via this official Deloitte website.

Requisition ID: 103842

In Indonesia, the services are provided by Imelda & Rekan and other related entities in Indonesia (""Deloitte in Indonesia""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Indonesia, which is within the Deloitte Network, is the entity that is providing this Website.
Show more ","Mid-Senior level","Full-time","Engineering and Information Technology","Business Consulting and Services, IT Services and IT Consulting, and Software Development","https://id.linkedin.com/jobs/view/consultant-senior-consultant-frontend-developer-at-deloitte-3922430206?position=2&pageNum=22&refId=Cs3p2NuDMAIYXLrmrmoH4Q%3D%3D&trackingId=Si7qKtW2FtGk2KZJzF7OJw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2023-12-21","Samsung Electronics Southeast Asia & Oceania","S/W Microservice Developer - Junior","Jakarta Metropolitan Area","Position Summary


Develop, establish and operate cloud infrastructure and platform that serve as a foundation for developing, establishing and operating service.
Secure competitiveness in services through research and development to raise efficiency of cloud infrastructure and platform.



Role And Responsibilities


[Designing, establishing and operating cloud virtualization system] Participate in the establishment and operation of cloud management system and conduct required development and configuration according to the guideline.
[Designing, establishing and operating data center network] Participate in designing, establishing and operating data center network and conduct required development and configuration according to the guideline.
[Designing, establishing and operating cloud storage] Participate in establishing and operating large scale distribution storage to store and utilize large scale unstructured data and conduct required development and configuration according to the guideline.
[Designing, establishing and operating cloud platform] Participate in the establishment and operation of common back-end system to support large scale services and conduct required development and configuration according to the guideline.



Skills And Qualifications


Develops professional expertise by complying with company policies and procedures
Works on problems of moderate scope where analyzing situations or data requires a review on various factors
Exercises judgment within defined procedures and practices to determine appropriate action
Normally receives general instructions on routine work with detailed instructions on new projects or assignments.
Minimal Requirements
Have deep understanding of Java and Object Oriented Programming
Have good communication skills in English
Accustomed to using versioning systems (github)
Have experience in SQL Query
Preferable
Have experience in REST API Development (Springboot, Ratpack or others) is a plus
Have experience in Service Oriented Architecture / Microservices Architecture is a plus
Have experience in working with DynamoDB / In-memory-DB such as Redis is a plus
Have experience using AWS services is a plus
Generally requires a bachelor's degree with a minimum 2 years related experience
Samsung has a strict policy on trade secrets. In applying to Samsung and progressing through the recruitment process, you must not disclose any trade secrets of a current or previous employer.
Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here.
Show more ","Entry level","Full-time","Research, General Business, and Information Technology","Appliances, Electrical, and Electronics Manufacturing and Computers and Electronics Manufacturing","https://id.linkedin.com/jobs/view/s-w-microservice-developer-junior-at-samsung-electronics-southeast-asia-oceania-3790986230?position=3&pageNum=22&refId=Cs3p2NuDMAIYXLrmrmoH4Q%3D%3D&trackingId=t6zNfkdBfcRzctJmQkp3bQ%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-20","Innity","Web Developer","Jakarta, Indonesia","Overall Job Description:




Innity is a digital marketing and media solutions company with a strong foothold in the APAC market. Innity’s solutions provide a combination of creative advertising, content and influencer marketing, as well as community and commerce technologies for brands, agencies, advertisers and publishers.




A Web Developer’s responsibility is to design, develop and maintain Innity's products, systems, services, and APIs to deliver advertising solutions to Innity’s clients. In addition to this, a web developer also researches new and innovative technology and solutions to ensure the most efficient and effective solutions are developed.




Responsibilities:

Participate in all aspects of the software development life-cycle (designing, developing, debugging, testing, deployment and maintenance) of new and existing products, systems, services, and APIs.
Carry out independent research for new digital advertising solutions.
Carry out additional tasks as directed from time to time.




Expected End Results:

Deliver quality products, systems, services, or APIs.
Deliver prototypes.







Qualification & Competencies:

Bachelor's degree in computer science or a related field, or have equivalent concrete work experience
Proficient in PHP, HTML, CSS, Javascript, and SQL programming
Similar years of experience in a similar position or technical skills in the domain
Working knowledge in any other programming languages will be an added advantage
Knowledge of digital advertising technology is an added advantage
Excel at problem-solving, especially when it comes to solving complex integration problems
Strong communication skills and enjoy working with clients and internal teams
Show more ","Mid-Senior level","Full-time","Engineering and Information Technology","Advertising Services","https://id.linkedin.com/jobs/view/web-developer-at-innity-3924683090?position=4&pageNum=22&refId=Cs3p2NuDMAIYXLrmrmoH4Q%3D%3D&trackingId=NvYiOSqdQUp01yC8cQhlAw%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-29","Prohire Global","Backend Laravel Programmer","Jakarta, Jakarta, Indonesia","WFO Setting of Workforce

Full-time Contractual Status (Extendable)

Requirement


Memiliki pengalaman di PHP Developer - Laravel
Menguasai web service integration/creator
Bachelor's degree of Computer Science/Information Technology
Min proven working experience 1 year

Show more ","Entry level","Full-time","Engineering and Information Technology","Business Consulting and Services","https://id.linkedin.com/jobs/view/backend-laravel-programmer-at-prohire-global-3933414235?position=5&pageNum=22&refId=Cs3p2NuDMAIYXLrmrmoH4Q%3D%3D&trackingId=Unx0QUCnghT25ex77bmSgQ%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-19","Kelola Talenta Global","Fullstack Software Developer (Mid Level - ATM System)","Jakarta, Jakarta, Indonesia","Hello jobseekers! One of our ATM System client in the tech industry is looking for a Fullstack Software Developer (mid level) to join their team with the following details:

Client Details :

As a leading company in ATMs, they have created and globally deployed innovations leading to greater efficiency and improved service for financial institutions and other customers and users, including establishing a culture of banknote recycling in many countries and regions through cash recycling ATMs.

Requirements :


Min. Bachelor degree of Information Technology or related
Have a good English skills
Experienced in software development at least 3 years
Experienced and have skill in Golang framework and tools
Knowledge of multiple front-end languages and libraries (e.g. HTML/CSS, JavaScript, XML, jQuery). Tailwind CSS is a plus
Familiar with hexagonal architecture also could create API wih framework such as Cl, dbdocs, swagger, air
Familiar with tools like: windows cmd Commands / powershell/docker
Familiar with versioning tools: Github, Bitbucket, Tortoise SVN
Experienced with DBMS like SQL Query in Mysql & PostgreSQL & MongoDB database""
Attention to detail, excellent communication, ability to work independently and collaboratively
Must be able to work effectively under pressure and manage multiple tasks simultaneously


Job Descriptions :


Provide pre-sales and/or post-sales support on server side application product related to Web and mobile application
To design, develop, testing and evaluate server software application which will be delivered to customer and coordinate with desktop, and mobile related internal department for aiming good quality and reliable software to support company business
Support database design and involve in testing(SIT & UAT) activities


Powered by JazzHR

wVidFxnCjh
Show more ","Mid-Senior level","Contract","Engineering and Information Technology","Internet Publishing","https://id.linkedin.com/jobs/view/fullstack-software-developer-mid-level-atm-system-at-kelola-talenta-global-3930056610?position=6&pageNum=22&refId=Cs3p2NuDMAIYXLrmrmoH4Q%3D%3D&trackingId=MlsGpPcnMz845jxv9xps0Q%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-05-20","Traveloka","Software Engineer (Web) - Accommodation","Jakarta Metropolitan Area","It's fun to work in a company where people truly BELIEVE in what they're doing!

‎

‎

Job Description


Develop Accommodation web platform using React.
Translate designs and wireframe into fully functioning and high-quality code.
Write well designed, testable, and efficient code by using best practices.
Write tests for every assigned tasks.
Work closely with multiple stakeholders (Product, Design, QA, etc) on planning and execution


‎

Requirements


Bachelor degree in Computer science or equivalent degree.
Having minimum 3 year of experience in software engineering for web development
Experience in version control (Git/SVN/Mercurial) and familiarity with development collaboration tools (GitHub/ Phabricator/ BitBucket).
Proficiency in javascript framework (React, Node.js, Next.js, etc.)
Experience in Typescript
Passion in software engineering and web technology


‎

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!
Show more ","Entry level","Full-time","Engineering and Information Technology","Software Development","https://id.linkedin.com/jobs/view/software-engineer-web-accommodation-at-traveloka-3930554030?position=7&pageNum=22&refId=Cs3p2NuDMAIYXLrmrmoH4Q%3D%3D&trackingId=n23x%2B0sQQX8WnLsZsXBaTg%3D%3D&trk=public_jobs_jserp-result_search-card"
"2024-01-17","Mekari","Software Engineer - Fullstack","Jakarta, Jakarta, Indonesia","Mekari is Indonesia's no. 1 Software-as-a-Service (SaaS) company. With our ecosystem of software solutions—including Mekari Jurnal, Mekari Talenta, Mekari Qontak, and Mekari Flex, we aim to facilitate entrepreneurs and leaders as they accelerate the digital transformation of their businesses.

In our 10+ years of journey we have reached over 1 Million platform users, and we're not planning to stop any time soon. We need more people like you: builders and owners with calculated ambition who are eager to grow and create their #BiggestImpact.

Job Descriptions


Develop front-end & back-end components on the product or service that will impact thousands of businesses and millions of users.
Work closely with Product Manager and other business stakeholders to develop solutions that delight our customers
Work with Technical Program Manager to run development lifecycle (concept, design, test, release, support)
Work closely with DevOps to maintain the application in our infrastructure.
Manage knowledge within the team in the form of written documentation surrounding technical requirements, deployments, and post-mortems.


Requirements


Minimum 1-year software engineering experience in a team setting.
Strong knowledge and experience both in modern front-end frameworks (Vue.js, React.js, etc) and back-end frameworks (Ruby on Rails, Go, Laravel, etc)
Good understanding of modern software engineering practices such as TDD, continuous integration, code review, and microservices design patterns
Familiarity with containers and container orchestration (i.e Kubernetes)
Familiarity with software development methodologies and frameworks such as Agile or Scrum
Excellent communication skills, written and verbal, with a focus on collaboration, understanding, and information sharing between team members and stakeholders


What You Will Get


Competitive salary + daily allowance.
Premium private health insurance (outpatient, inpatient, maternity, dental).
Early access to salary + flex installment (employee loan) via Mekari Flex.
Allowance for sports activities and glasses/contact lenses.
Flexible working hours and remote work culture with free co-working space services.
Annual and unpaid leaves from day 1 of join date + unlimited sick leave with doctor note.
Notebook Ownership Program.
Strategic office location, accessible by MRT.
Friendly and dynamic work environment.
Opportunity to take part in growing Indonesia's no. 1 SaaS company


Our team will review your application and will be in touch if your application is shortlisted to the next stage. If you do not hear from us in 30 days, we will keep your resume on file in case a relevant opportunity opens up.

Don't forget to check our Recruitment FAQ at bit.ly/RecruitmentFAQ-Mekari [ENG] or bit.ly/RekrutmenMekari-FAQ [INA] to find the answers to commonly-asked questions regarding our recruitment process.

We wish you the best. Hope to see you around soon!
Show more ","Entry level","Full-time","Engineering and Information Technology","Software Development","https://id.linkedin.com/jobs/view/software-engineer-fullstack-at-mekari-3807192815?position=8&pageNum=22&refId=Cs3p2NuDMAIYXLrmrmoH4Q%3D%3D&trackingId=O2Pk2KZmGXbk5rp%2FQilf%2FA%3D%3D&trk=public_jobs_jserp-result_search-card"
